dwa_id,dwa_title,iwa_title,gwa_title,n_occupations,n_tasks,degree
4.A.1.a.1.b.10,Review work orders or schedules to determine operations or procedures.,Read documents or materials to inform work processes.,Getting Information,1,1,0
4.A.1.a.1.b.12,Evaluate reports or designs to determine work needs.,Read documents or materials to inform work processes.,Getting Information,1,1,0
4.A.1.a.1.b.15,Review details of technical drawings or specifications.,Read documents or materials to inform work processes.,Getting Information,1,1,0
4.A.1.a.1.b.7,Read documents to gather technical information.,Read documents or materials to inform work processes.,Getting Information,6,8,1
4.A.1.a.1.b.8,Review technical documents to plan work.,Read documents or materials to inform work processes.,Getting Information,15,21,12
4.A.1.a.1.b.9,Review blueprints or specifications to determine work requirements.,Read documents or materials to inform work processes.,Getting Information,1,1,0
4.A.1.a.1.c.1,Collect evidence for legal proceedings.,Investigate criminal or legal matters.,Getting Information,1,2,0
4.A.1.a.1.c.2,Examine crime scenes to obtain evidence.,Investigate criminal or legal matters.,Getting Information,1,3,0
4.A.1.a.1.c.5,Examine records or other types of data to investigate criminal activities.,Investigate criminal or legal matters.,Getting Information,2,5,0
4.A.1.a.1.c.7,Investigate illegal or suspicious activities.,Investigate criminal or legal matters.,Getting Information,2,2,0
4.A.1.a.1.d.1,Obtain property information.,Gather information from physical or electronic sources.,Getting Information,1,1,0
4.A.1.a.1.d.5,Retrieve information from electronic sources.,Gather information from physical or electronic sources.,Getting Information,1,3,0
4.A.1.a.1.d.7,"Search files, databases or reference materials to obtain needed information.",Gather information from physical or electronic sources.,Getting Information,3,3,0
4.A.1.a.1.d.8,Collect archival data.,Gather information from physical or electronic sources.,Getting Information,6,7,0
4.A.1.a.1.f.1,Gather organizational performance information.,Gather data about operational or development activities.,Getting Information,1,1,0
4.A.1.a.1.f.3,Gather physical survey data.,Gather data about operational or development activities.,Getting Information,4,9,0
4.A.1.a.1.f.4,Collect data about project sites.,Gather data about operational or development activities.,Getting Information,7,8,0
4.A.1.a.1.h.1,Research hydrologic features or processes.,Research issues related to earth sciences.,Getting Information,4,7,0
4.A.1.a.1.h.2,Research geological features or processes.,Research issues related to earth sciences.,Getting Information,3,5,0
4.A.1.a.1.h.3,Conduct climatological research.,Research issues related to earth sciences.,Getting Information,5,9,0
4.A.1.a.1.i.2,Research industrial processes or operations.,"Research organizational behavior, processes, or performance.",Getting Information,5,5,0
4.A.1.a.1.i.3,Conduct scientific research of organizational behavior or processes.,"Research organizational behavior, processes, or performance.",Getting Information,3,6,0
4.A.1.a.1.j.1,Research impacts of environmental conservation initiatives.,Investigate the environmental impact of industrial or development activities.,Getting Information,8,11,6
4.A.1.a.1.j.3,Investigate the environmental impact of projects.,Investigate the environmental impact of industrial or development activities.,Getting Information,13,19,8
4.A.1.a.1.j.4,Monitor environmental impacts of production or development activities.,Investigate the environmental impact of industrial or development activities.,Getting Information,4,6,0
4.A.1.a.1.j.5,Research environmental impact of industrial or development activities.,Investigate the environmental impact of industrial or development activities.,Getting Information,10,23,4
4.A.1.a.1.j.6,Identify environmental concerns.,Investigate the environmental impact of industrial or development activities.,Getting Information,3,3,0
4.A.1.a.1.j.7,Evaluate environmental impact of operational or development activities.,Investigate the environmental impact of industrial or development activities.,Getting Information,3,3,0
4.A.1.a.1.l.1,Gather medical information from patient histories.,Collect information about patients or clients.,Getting Information,15,15,13
4.A.1.a.1.l.2,"Collect medical information from patients, family members, or other medical professionals.",Collect information about patients or clients.,Getting Information,33,35,46
4.A.1.a.1.l.3,"Collect information from people through observation, interviews, or surveys.",Collect information about patients or clients.,Getting Information,14,20,8
4.A.1.a.1.l.4,Collect information about clients.,Collect information about patients or clients.,Getting Information,2,2,0
4.A.1.a.1.m.1,Research livestock management methods.,Research agricultural processes or practices.,Getting Information,3,8,0
4.A.1.a.1.m.2,Research crop management methods.,Research agricultural processes or practices.,Getting Information,6,7,0
4.A.1.a.1.m.3,Research sustainable agricultural processes or practices.,Research agricultural processes or practices.,Getting Information,3,6,0
4.A.1.a.1.n.2,Gather customer or product information to determine customer needs.,Collect data about consumer needs or opinions.,Getting Information,4,4,0
4.A.1.a.1.n.5,Collect data about customer needs.,Collect data about consumer needs or opinions.,Getting Information,6,6,0
4.A.1.a.1.o.1,Observe individuals' activities to gather information or compile evidence.,"Investigate individuals' background, behavior, or activities.",Getting Information,1,1,0
4.A.1.a.1.p.1,Research genetic characteristics or expression.,Research biological or ecological phenomena.,Getting Information,5,12,1
4.A.1.a.1.p.2,Research diseases or parasites.,Research biological or ecological phenomena.,Getting Information,10,13,5
4.A.1.a.1.p.3,Conduct research of processes in natural or industrial ecosystems.,Research biological or ecological phenomena.,Getting Information,7,10,0
4.A.1.a.1.p.4,Research microbiological or chemical processes or structures.,Research biological or ecological phenomena.,Getting Information,5,12,0
4.A.1.a.1.p.5,Classify organisms based on their characteristics or behavior.,Research biological or ecological phenomena.,Getting Information,4,4,0
4.A.1.a.1.p.6,Examine characteristics or behavior of living organisms.,Research biological or ecological phenomena.,Getting Information,6,8,1
