onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,task_coverage,automation_feasibility_today,llm_exposure,physical_embodiment_required,interpersonal_demand,judgment_under_uncertainty,accountability_requirement,error_cost,share_largely_automatable,share_human_anchored
11-3021.00,Computer and Information Systems Managers,Managerial,4,17,1.0,30.7,74.4,12.4,48.5,56.8,56.3,49.3,0.118,0.118
11-9041.00,Architectural and Engineering Managers,Managerial,5,19,1.0,26.6,68.3,19.7,51.3,60.0,65.0,56.2,0.053,0.263
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,18,1.0,22.7,56.5,44.2,29.4,62.4,52.4,51.0,0.0,0.0
11-9111.00,Medical and Health Services Managers,Managerial,4,18,1.0,31.8,66.9,16.1,53.2,52.1,56.0,47.8,0.167,0.333
11-9121.00,Natural Sciences Managers,Managerial,5,16,1.0,29.0,70.0,17.3,52.5,57.2,60.1,48.7,0.062,0.188
11-9121.01,Clinical Research Coordinators,Managerial,4,33,1.0,40.2,72.1,17.1,45.5,46.8,51.1,46.3,0.212,0.091
11-9121.02,Water Resource Specialists,Managerial,4,21,1.0,32.7,69.6,27.2,36.1,59.7,56.0,50.8,0.143,0.095
15-1211.00,Computer Systems Analysts,"Research, Development, Design, and Practitioners",4,22,0.957,44.1,81.5,11.6,34.9,49.4,38.9,42.5,0.273,0.045
15-1211.01,Health Informatics Specialists,"Research, Development, Design, and Practitioners",5,17,1.0,40.9,83.9,9.9,34.5,52.6,45.0,45.5,0.176,0.0
15-1212.00,Information Security Analysts,"Research, Development, Design, and Practitioners",4,11,1.0,45.1,79.3,9.5,33.6,51.5,51.6,55.0,0.182,0.0
15-1221.00,Computer and Information Research Scientists,"Research, Development, Design, and Practitioners",5,15,1.0,32.2,73.4,14.8,49.0,56.8,51.3,47.8,0.2,0.067
15-1231.00,Computer Network Support Specialists,Technologists and Technicians,4,26,1.0,53.1,68.5,24.9,17.7,37.9,39.4,46.6,0.5,0.0
15-1232.00,Computer User Support Specialists,Technologists and Technicians,3,16,1.0,44.9,70.6,23.5,29.5,40.1,34.3,38.0,0.312,0.062
15-1241.00,Computer Network Architects,"Research, Development, Design, and Practitioners",4,33,1.0,38.7,74.7,20.1,35.0,49.3,47.9,50.8,0.091,0.061
15-1241.01,Telecommunications Engineering Specialists,"Research, Development, Design, and Practitioners",3,26,1.0,41.2,72.5,22.1,30.5,47.0,45.3,48.0,0.192,0.0
15-1242.00,Database Administrators,"Research, Development, Design, and Practitioners",4,18,1.0,53.1,82.7,7.8,24.3,41.0,37.8,42.4,0.556,0.0
15-1243.00,Database Architects,"Research, Development, Design, and Practitioners",4,25,1.0,45.9,82.3,6.7,30.3,43.6,38.7,43.6,0.36,0.0
15-1243.01,Data Warehousing Specialists,"Research, Development, Design, and Practitioners",4,18,1.0,43.0,83.7,8.2,25.4,48.5,43.2,45.3,0.222,0.0
