onet_soc_code,title,scenario,tasks,automated,augmented,unchanged,new_tasks,share_automated,reshaped,total_employment,has_destination
15-1299.03,Document Management Specialists,extreme,23,23,0,0,0,1.0,1,435370.0,0
15-1211.00,Computer Systems Analysts,extreme,22,22,0,0,1,1.0,1,519530.0,0
15-1242.00,Database Administrators,extreme,18,18,0,0,0,1.0,1,69990.0,0
15-1255.00,Web and Digital Interface Designers,extreme,30,30,0,0,1,1.0,1,113330.0,0
15-2031.00,Operations Research Analysts,extreme,17,17,0,0,0,1.0,1,108510.0,0
15-1299.02,Geographic Information Systems Technologists and Technicians,extreme,29,29,0,0,1,1.0,1,435370.0,1
15-2021.00,Mathematicians,extreme,12,12,0,0,0,1.0,1,2030.0,1
15-2041.01,Biostatisticians,extreme,25,25,0,0,0,1.0,1,29030.0,1
15-2051.00,Data Scientists,extreme,16,16,0,0,1,1.0,1,262440.0,0
15-1299.07,Blockchain Engineers,extreme,17,17,0,0,1,1.0,1,435370.0,0
15-1255.01,Video Game Designers,extreme,24,24,0,0,0,1.0,1,113330.0,0
15-2051.01,Business Intelligence Analysts,extreme,17,17,0,0,0,1.0,1,262440.0,1
15-1211.01,Health Informatics Specialists,extreme,17,17,0,0,0,1.0,1,519530.0,0
15-1212.00,Information Security Analysts,extreme,11,11,0,0,0,1.0,1,190650.0,0
15-1243.01,Data Warehousing Specialists,extreme,18,18,0,0,0,1.0,1,67140.0,0
15-1251.00,Computer Programmers,extreme,17,17,0,0,0,1.0,1,92230.0,0
19-2041.01,Climate Change Policy Analysts,extreme,14,14,0,0,0,1.0,1,89250.0,0
19-2041.03,Industrial Ecologists,extreme,38,37,1,0,1,0.974,1,89250.0,1
15-1299.01,Web Administrators,extreme,35,34,0,1,0,0.971,1,435370.0,0
15-1299.08,Computer Systems Engineers/Architects,extreme,28,27,0,1,0,0.964,1,435370.0,0
17-2051.02,Water/Wastewater Engineers,extreme,28,27,1,0,0,0.964,1,367840.0,1
15-1243.00,Database Architects,extreme,25,24,1,0,0,0.96,1,67140.0,0
15-2051.02,Clinical Data Managers,extreme,21,20,1,0,0,0.952,1,262440.0,0
15-1299.06,Digital Forensics Analysts,extreme,20,19,0,1,0,0.95,1,435370.0,0
15-1244.00,Network and Computer Systems Administrators,extreme,20,19,0,1,0,0.95,1,314340.0,0
19-3011.01,Environmental Economists,extreme,20,19,1,0,0,0.95,1,17790.0,1
15-1299.05,Information Security Engineers,extreme,20,19,1,0,0,0.95,1,435370.0,0
15-2041.00,Statisticians,extreme,19,18,1,0,0,0.947,1,29030.0,0
15-1252.00,Software Developers,extreme,17,16,1,0,0,0.941,1,1687890.0,0
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",extreme,33,31,0,2,0,0.939,1,284800.0,0
17-3013.00,Mechanical Drafters,extreme,16,15,1,0,1,0.938,1,39960.0,0
19-3022.00,Survey Researchers,extreme,16,15,1,0,0,0.938,1,8290.0,1
15-1221.00,Computer and Information Research Scientists,extreme,15,14,1,0,0,0.933,1,37200.0,0
15-1253.00,Software Quality Assurance Analysts and Testers,extreme,30,28,2,0,0,0.933,1,186740.0,0
19-3041.00,Sociologists,extreme,15,14,1,0,2,0.933,1,2260.0,1
15-1254.00,Web Developers,extreme,29,27,2,0,0,0.931,1,70190.0,0
19-3094.00,Political Scientists,extreme,14,13,1,0,0,0.929,1,5540.0,1
41-4011.07,Solar Sales Representatives and Assessors,extreme,13,12,0,1,1,0.923,1,284800.0,0
17-2112.03,Manufacturing Engineers,extreme,24,22,1,1,0,0.917,1,365740.0,1
15-1299.04,Penetration Testers,extreme,22,20,2,0,0,0.909,1,435370.0,1
15-1241.00,Computer Network Architects,extreme,33,30,3,0,0,0.909,1,179740.0,0
11-9121.01,Clinical Research Coordinators,extreme,33,30,3,0,0,0.909,1,108690.0,0
19-3099.01,Transportation Planners,extreme,22,20,2,0,0,0.909,1,37100.0,1
19-2041.00,"Environmental Scientists and Specialists, Including Health",extreme,22,20,2,0,0,0.909,1,89250.0,1
19-1029.01,Bioinformatics Scientists,extreme,20,18,2,0,0,0.9,1,55850.0,1
17-2031.00,Bioengineers and Biomedical Engineers,extreme,30,27,3,0,0,0.9,1,23480.0,1
15-2099.01,Bioinformatics Technicians,extreme,19,17,2,0,1,0.895,1,3720.0,0
29-9092.00,Genetic Counselors,extreme,19,17,2,0,0,0.895,1,3740.0,1
11-9111.00,Medical and Health Services Managers,extreme,18,16,2,0,0,0.889,1,597080.0,0
15-1241.01,Telecommunications Engineering Specialists,extreme,26,23,3,0,0,0.885,1,179740.0,0
17-3011.00,Architectural and Civil Drafters,extreme,26,23,1,2,1,0.885,1,103700.0,1
17-2112.01,Human Factors Engineers and Ergonomists,extreme,26,23,2,1,1,0.885,1,365740.0,0
11-3021.00,Computer and Information Systems Managers,extreme,17,15,2,0,0,0.882,1,670570.0,0
19-3051.00,Urban and Regional Planners,extreme,25,22,3,0,0,0.88,1,44230.0,1
29-2072.00,Medical Records Specialists,extreme,16,14,1,1,0,0.875,1,194720.0,1
17-2199.08,Robotics Engineers,extreme,24,21,2,1,0,0.875,1,154070.0,1
11-9121.00,Natural Sciences Managers,extreme,16,14,2,0,0,0.875,1,108690.0,0
19-2012.00,Physicists,extreme,16,14,1,1,0,0.875,1,20430.0,1
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",extreme,23,20,3,0,0,0.87,1,11300.0,0
19-2041.02,Environmental Restoration Planners,extreme,23,20,2,1,0,0.87,1,89250.0,1
15-2011.00,Actuaries,extreme,15,13,2,0,1,0.867,1,26670.0,0
25-1031.00,"Architecture Teachers, Postsecondary",extreme,22,19,3,0,0,0.864,1,7700.0,0
25-1063.00,"Economics Teachers, Postsecondary",extreme,22,19,3,0,0,0.864,1,11560.0,0
