onet_soc_code,stem_category_id,stem_category_name,parent_category_name
11-3021.00,4,Managerial,
11-9041.00,4,Managerial,
11-9041.01,4,Managerial,
11-9111.00,4,Managerial,
11-9121.00,4,Managerial,
11-9121.01,4,Managerial,
11-9121.02,4,Managerial,
15-1211.00,1,"Research, Development, Design, and Practitioners",
15-1211.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1211.01,1,"Research, Development, Design, and Practitioners",
15-1211.01,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1212.00,1,"Research, Development, Design, and Practitioners",
15-1212.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1221.00,1,"Research, Development, Design, and Practitioners",
15-1221.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1231.00,2,Technologists and Technicians,
15-1231.00,2-2,Computer and Mathematical,Technologists and Technicians
15-1232.00,2,Technologists and Technicians,
15-1232.00,2-2,Computer and Mathematical,Technologists and Technicians
15-1241.00,1,"Research, Development, Design, and Practitioners",
15-1241.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1241.01,1,"Research, Development, Design, and Practitioners",
15-1241.01,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1242.00,1,"Research, Development, Design, and Practitioners",
15-1242.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1243.00,1,"Research, Development, Design, and Practitioners",
15-1243.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1243.01,1,"Research, Development, Design, and Practitioners",
15-1243.01,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1244.00,1,"Research, Development, Design, and Practitioners",
15-1244.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1251.00,1,"Research, Development, Design, and Practitioners",
15-1251.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1252.00,1,"Research, Development, Design, and Practitioners",
15-1252.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1253.00,1,"Research, Development, Design, and Practitioners",
15-1253.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1254.00,1,"Research, Development, Design, and Practitioners",
15-1254.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1255.00,1,"Research, Development, Design, and Practitioners",
15-1255.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1255.01,1,"Research, Development, Design, and Practitioners",
