onet_soc_code,occupation_title,dwa_id,dwa_title,display_rank
11-3021.00,Computer and Information Systems Managers,4.A.1.a.1.b.8,Review technical documents to plan work.,20
11-3021.00,Computer and Information Systems Managers,4.A.2.a.1.d.4,Evaluate employee performance.,9
11-3021.00,Computer and Information Systems Managers,4.A.2.a.1.j.1,Evaluate project designs to determine adequacy or feasibility.,19
11-3021.00,Computer and Information Systems Managers,4.A.2.a.1.j.2,Analyze data to determine project feasibility.,22
11-3021.00,Computer and Information Systems Managers,4.A.2.a.4.g.12,Analyze data to inform operational decisions or activities.,4
11-3021.00,Computer and Information Systems Managers,4.A.2.b.1.h.5,Determine resource needs.,15
11-3021.00,Computer and Information Systems Managers,4.A.2.b.2.b.2,Develop computer or information systems.,1
11-3021.00,Computer and Information Systems Managers,4.A.2.b.2.v.2,Develop organizational goals or objectives.,3
11-3021.00,Computer and Information Systems Managers,4.A.2.b.3.a.8,Maintain knowledge of current developments in area of expertise.,13
11-3021.00,Computer and Information Systems Managers,4.A.2.b.4.a.1,Develop organizational policies or programs.,17
11-3021.00,Computer and Information Systems Managers,4.A.2.b.4.a.2,"Develop operating strategies, plans, or procedures.",16
11-3021.00,Computer and Information Systems Managers,4.A.3.b.6.o.6,Prepare operational progress or status reports.,21
11-3021.00,Computer and Information Systems Managers,4.A.4.a.2.c.14,Confer with organizational members to accomplish work activities.,5
11-3021.00,Computer and Information Systems Managers,4.A.4.a.7.c.1,Resolve employee or contractor problems.,7
11-3021.00,Computer and Information Systems Managers,4.A.4.b.1.c.6,Coordinate operational activities with external stakeholders.,2
11-3021.00,Computer and Information Systems Managers,4.A.4.b.3.d.16,Conduct employee training programs.,11
11-3021.00,Computer and Information Systems Managers,4.A.4.b.4.h.5,Manage organizational or project budgets.,23
11-3021.00,Computer and Information Systems Managers,4.A.4.b.4.j.12,"Manage operations, research, or logistics projects.",8
11-3021.00,Computer and Information Systems Managers,4.A.4.b.4.j.39,"Direct organizational operations, projects, or services.",6
11-3021.00,Computer and Information Systems Managers,4.A.4.b.6.b.2,Advise customers on technical or procedural issues.,10
11-3021.00,Computer and Information Systems Managers,4.A.4.b.6.e.7,Recommend organizational process or policy changes.,18
11-3021.00,Computer and Information Systems Managers,4.A.4.c.2.a.3,Hire personnel.,12
