onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
15-2051.01,Business Intelligence Analysts,"Research, Development, Design, and Practitioners",4,17,78.3,80.7,24.0,28.0,1.0,0.588,0.0,Displaceable
15-1299.02,Geographic Information Systems Technologists and Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,29,78.2,81.2,24.7,29.8,0.862,0.517,0.0,Displaceable
15-2021.00,Mathematicians,"Research, Development, Design, and Practitioners",5,12,76.6,81.5,28.3,36.5,0.75,0.25,0.083,Displaceable
15-1299.03,Document Management Specialists,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,23,76.5,79.9,26.8,29.5,0.826,0.217,0.0,Displaceable
15-2051.00,Data Scientists,"Research, Development, Design, and Practitioners",4,16,76.4,80.9,28.2,36.6,0.812,0.125,0.062,Displaceable
15-1242.00,Database Administrators,"Research, Development, Design, and Practitioners",4,18,75.6,77.0,25.7,23.2,0.833,0.556,0.0,Displaceable
15-1255.00,Web and Digital Interface Designers,"Research, Development, Design, and Practitioners",4,30,75.2,78.5,28.1,31.1,0.767,0.333,0.0,Displaceable
15-1243.01,Data Warehousing Specialists,"Research, Development, Design, and Practitioners",4,18,75.1,79.1,29.0,35.9,0.833,0.222,0.0,Displaceable
15-2041.01,Biostatisticians,"Research, Development, Design, and Practitioners",5,25,75.0,79.8,29.9,34.8,0.68,0.28,0.08,Displaceable
15-1243.00,Database Architects,"Research, Development, Design, and Practitioners",4,25,74.5,76.7,27.7,29.7,0.84,0.36,0.0,Displaceable
15-1254.00,Web Developers,"Research, Development, Design, and Practitioners",3,29,74.3,75.7,27.2,24.4,0.724,0.276,0.0,Displaceable
15-2051.02,Clinical Data Managers,"Research, Development, Design, and Practitioners",4,21,74.3,77.3,28.7,33.7,0.81,0.095,0.048,Displaceable
15-2099.01,Bioinformatics Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,19,74.2,76.0,27.6,30.8,0.737,0.263,0.0,Displaceable
15-2041.00,Statisticians,"Research, Development, Design, and Practitioners",5,19,73.8,77.5,29.9,35.2,0.632,0.158,0.158,Displaceable
15-1211.01,Health Informatics Specialists,"Research, Development, Design, and Practitioners",5,17,73.3,78.4,31.8,39.3,0.941,0.176,0.0,Displaceable
15-1251.00,Computer Programmers,"Research, Development, Design, and Practitioners",4,17,73.3,74.9,28.3,24.3,0.647,0.353,0.0,Displaceable
15-1211.00,Computer Systems Analysts,"Research, Development, Design, and Practitioners",4,22,73.0,76.7,30.8,33.9,0.636,0.273,0.045,Displaceable
15-1253.00,Software Quality Assurance Analysts and Testers,"Research, Development, Design, and Practitioners",4,30,72.3,72.0,27.3,17.3,0.633,0.5,0.0,Displaceable
15-1255.01,Video Game Designers,"Research, Development, Design, and Practitioners",4,24,72.0,73.3,29.3,32.6,0.542,0.292,0.0,Displaceable
15-1299.01,Web Administrators,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,35,71.8,73.5,29.9,26.8,0.571,0.257,0.0,Displaceable
15-2031.00,Operations Research Analysts,"Research, Development, Design, and Practitioners",5,17,71.3,75.5,32.9,38.0,0.706,0.059,0.059,Displaceable
15-1299.04,Penetration Testers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,22,70.2,74.5,34.1,32.4,0.364,0.091,0.045,Displaceable
15-1299.07,Blockchain Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,17,69.7,72.7,33.3,29.4,0.294,0.176,0.0,Displaceable
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales,4,33,69.4,69.4,30.5,17.5,0.485,0.576,0.0,Displaceable
19-2041.01,Climate Change Policy Analysts,"Research, Development, Design, and Practitioners",5,14,69.3,75.3,36.6,45.1,0.5,0.071,0.0,Displaceable
15-1299.08,Computer Systems Engineers/Architects,"Research, Development, Design, and Practitioners; Technologists and Technicians",3,28,69.1,71.9,33.7,31.2,0.571,0.179,0.036,Displaceable
19-3094.00,Political Scientists,"Research, Development, Design, and Practitioners",5,14,69.1,75.8,37.6,45.9,0.429,0.0,0.143,Displaceable
15-1252.00,Software Developers,"Research, Development, Design, and Practitioners",4,17,68.8,70.6,33.0,29.1,0.529,0.176,0.059,Displaceable
29-2099.08,Patient Representatives,Technologists and Technicians,3,13,68.3,69.4,32.7,28.2,0.615,0.308,0.077,Displaceable
15-1299.06,Digital Forensics Analysts,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,20,68.2,70.5,34.2,28.3,0.45,0.15,0.0,Displaceable
15-1212.00,Information Security Analysts,"Research, Development, Design, and Practitioners",4,11,68.1,70.3,34.0,27.5,0.273,0.182,0.0,Displaceable
29-2072.00,Medical Records Specialists,Technologists and Technicians,3,16,67.9,70.8,35.1,22.5,0.688,0.25,0.188,Displaceable
41-4011.07,Solar Sales Representatives and Assessors,Sales,3,13,67.8,70.0,34.5,27.2,0.538,0.385,0.0,Displaceable
19-1029.01,Bioinformatics Scientists,"Research, Development, Design, and Practitioners",5,20,67.7,72.8,37.5,41.9,0.6,0.0,0.05,Displaceable
19-3011.01,Environmental Economists,"Research, Development, Design, and Practitioners",5,20,67.7,73.8,38.4,45.1,0.35,0.05,0.0,Displaceable
15-1232.00,Computer User Support Specialists,Technologists and Technicians,3,16,67.6,64.9,29.8,18.7,0.625,0.312,0.062,Displaceable
15-1244.00,Network and Computer Systems Administrators,"Research, Development, Design, and Practitioners",3,20,67.6,66.5,31.3,17.7,0.35,0.25,0.0,Displaceable
41-9031.00,Sales Engineers,Sales,4,25,67.6,68.6,33.4,26.5,0.52,0.36,0.08,Displaceable
19-4061.00,Social Science Research Assistants,Technologists and Technicians,4,22,67.5,68.4,33.4,27.9,0.455,0.182,0.045,Displaceable
15-1241.00,Computer Network Architects,"Research, Development, Design, and Practitioners",4,33,67.2,69.5,35.1,30.9,0.364,0.091,0.061,Displaceable
19-1011.00,Animal Scientists,"Research, Development, Design, and Practitioners",5,9,67.1,69.7,35.6,38.3,0.556,0.0,0.0,Displaceable
25-1063.00,"Economics Teachers, Postsecondary",Postsecondary Teaching,5,22,67.1,69.6,35.3,35.3,0.455,0.091,0.182,Displaceable
15-1231.00,Computer Network Support Specialists,Technologists and Technicians,4,26,67.0,61.9,27.9,9.2,0.423,0.5,0.0,Displaceable
19-2041.03,Industrial Ecologists,"Research, Development, Design, and Practitioners",5,38,67.0,73.3,39.3,44.1,0.263,0.0,0.0,Displaceable
25-1032.00,"Engineering Teachers, Postsecondary",Postsecondary Teaching,5,24,67.0,69.4,35.5,35.0,0.458,0.125,0.167,Displaceable
19-3099.01,Transportation Planners,"Research, Development, Design, and Practitioners",4,22,66.9,73.7,39.8,45.1,0.409,0.045,0.136,Displaceable
25-1031.00,"Architecture Teachers, Postsecondary",Postsecondary Teaching,5,22,66.8,69.2,35.6,35.4,0.455,0.091,0.182,Displaceable
25-1065.00,"Political Science Teachers, Postsecondary",Postsecondary Teaching,5,22,66.8,69.1,35.6,35.2,0.455,0.091,0.182,Displaceable
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Postsecondary Teaching,5,25,66.6,69.1,36.0,35.9,0.48,0.08,0.16,Displaceable
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Postsecondary Teaching,5,26,66.6,68.7,35.4,34.0,0.462,0.115,0.154,Displaceable
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Postsecondary Teaching,5,23,66.6,69.0,35.8,35.7,0.435,0.087,0.174,Displaceable
15-1241.01,Telecommunications Engineering Specialists,"Research, Development, Design, and Practitioners",3,26,66.5,66.3,33.3,26.3,0.385,0.192,0.0,Displaceable
25-1053.00,"Environmental Science Teachers, Postsecondary",Postsecondary Teaching,5,25,66.5,69.1,36.2,36.1,0.48,0.08,0.16,Displaceable
25-1022.00,"Mathematical Science Teachers, Postsecondary",Postsecondary Teaching,5,23,66.4,68.6,35.7,33.2,0.478,0.13,0.217,Displaceable
25-1064.00,"Geography Teachers, Postsecondary",Postsecondary Teaching,5,25,66.1,67.9,35.8,34.1,0.44,0.12,0.16,Displaceable
25-1067.00,"Sociology Teachers, Postsecondary",Postsecondary Teaching,5,24,66.0,68.3,36.4,35.5,0.417,0.083,0.167,Displaceable
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Postsecondary Teaching,5,23,65.8,68.2,36.6,35.7,0.435,0.087,0.174,Displaceable
11-9121.01,Clinical Research Coordinators,Managerial,4,33,65.7,67.5,36.2,28.4,0.364,0.212,0.091,Displaceable
17-3011.00,Architectural and Civil Drafters,Technologists and Technicians,3,26,65.7,62.4,31.0,21.0,0.538,0.038,0.038,Displaceable
