onet_soc_code,related_onet_soc_code,related_title,relatedness_tier,rank,related_is_stem
11-3021.00,15-1211.00,Computer Systems Analysts,Primary-Short,1.0,1
11-3021.00,13-1082.00,Project Management Specialists,Primary-Short,2.0,0
11-3021.00,15-1252.00,Software Developers,Primary-Short,3.0,1
11-3021.00,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,4.0,1
11-3021.00,13-1111.00,Management Analysts,Primary-Short,5.0,0
11-3021.00,15-1299.09,Information Technology Project Managers,Primary-Long,6.0,1
11-3021.00,15-1243.00,Database Architects,Primary-Long,7.0,1
11-3021.00,15-1241.00,Computer Network Architects,Primary-Long,8.0,1
11-3021.00,15-1299.05,Information Security Engineers,Primary-Long,9.0,1
11-3021.00,15-1242.00,Database Administrators,Primary-Long,10.0,1
11-3021.00,25-1021.00,"Computer Science Teachers, Postsecondary",Supplemental,11.0,1
11-3021.00,15-1244.00,Network and Computer Systems Administrators,Supplemental,12.0,1
11-3021.00,15-1212.00,Information Security Analysts,Supplemental,13.0,1
11-3021.00,15-1251.00,Computer Programmers,Supplemental,14.0,1
11-3021.00,15-2051.01,Business Intelligence Analysts,Supplemental,15.0,1
11-3021.00,15-1253.00,Software Quality Assurance Analysts and Testers,Supplemental,16.0,1
11-3021.00,15-2051.00,Data Scientists,Supplemental,17.0,1
11-3021.00,15-1231.00,Computer Network Support Specialists,Supplemental,18.0,1
11-3021.00,15-1232.00,Computer User Support Specialists,Supplemental,19.0,1
11-3021.00,15-1299.03,Document Management Specialists,Supplemental,20.0,1
11-9041.00,13-1082.00,Project Management Specialists,Primary-Short,1.0,0
11-9041.00,17-2112.00,Industrial Engineers,Primary-Short,2.0,1
11-9041.00,13-1081.01,Logistics Engineers,Primary-Short,3.0,0
11-9041.00,17-2071.00,Electrical Engineers,Primary-Short,4.0,1
11-9041.00,25-1032.00,"Engineering Teachers, Postsecondary",Primary-Short,5.0,1
11-9041.00,17-3011.00,Architectural and Civil Drafters,Primary-Long,6.0,1
11-9041.00,17-2199.05,Mechatronics Engineers,Primary-Long,7.0,1
11-9041.00,17-2072.00,"Electronics Engineers, Except Computer",Primary-Long,8.0,1
11-9041.00,11-9121.00,Natural Sciences Managers,Primary-Long,9.0,1
