stem_category_id,stem_category_name,parent_category_id,parent_category_name,is_leaf
1,"Research, Development, Design, and Practitioners",,,0
1-1,Architecture and Engineering,1,"Research, Development, Design, and Practitioners",1
1-2,Computer and Mathematical,1,"Research, Development, Design, and Practitioners",1
1-3,Healthcare Practitioners and Technical,1,"Research, Development, Design, and Practitioners",1
1-4,"Life, Physical, and Social Science",1,"Research, Development, Design, and Practitioners",1
2,Technologists and Technicians,,,0
2-1,Architecture and Engineering,2,Technologists and Technicians,1
2-2,Computer and Mathematical,2,Technologists and Technicians,1
2-3,Healthcare Practitioners and Technical,2,Technologists and Technicians,1
2-4,"Life, Physical, and Social Science",2,Technologists and Technicians,1
3,Postsecondary Teaching,,,0
4,Managerial,,,0
5,Sales,,,0
