onet_soc_code,title,susceptibility,total_employment,neighbours,best_relief,reason
15-1242.00,Database Administrators,77.2,69990.0,27,11.8,every close neighbour is about as exposed
15-1299.03,Document Management Specialists,77.1,435370.0,23,11.4,every close neighbour is about as exposed
15-2051.00,Data Scientists,76.9,262440.0,7,4.3,every close neighbour is about as exposed
15-1255.00,Web and Digital Interface Designers,76.8,113330.0,25,11.2,every close neighbour is about as exposed
15-1251.00,Computer Programmers,76.2,92230.0,23,10.8,every close neighbour is about as exposed
15-1254.00,Web Developers,76.2,70190.0,28,10.5,every close neighbour is about as exposed
15-1243.01,Data Warehousing Specialists,76.1,67140.0,22,10.7,every close neighbour is about as exposed
15-1243.00,Database Architects,75.9,67140.0,27,10.5,every close neighbour is about as exposed
15-2099.01,Bioinformatics Technicians,74.7,3720.0,1,5.5,every close neighbour is about as exposed
15-1253.00,Software Quality Assurance Analysts and Testers,74.6,186740.0,31,9.2,every close neighbour is about as exposed
15-2051.02,Clinical Data Managers,74.4,262440.0,30,9.0,every close neighbour is about as exposed
15-1211.01,Health Informatics Specialists,74.2,519530.0,22,8.5,every close neighbour is about as exposed
15-2041.00,Statisticians,74.2,29030.0,25,8.6,every close neighbour is about as exposed
15-1299.01,Web Administrators,73.8,435370.0,30,8.4,every close neighbour is about as exposed
15-1211.00,Computer Systems Analysts,73.7,519530.0,27,8.3,every close neighbour is about as exposed
15-1255.01,Video Game Designers,73.0,113330.0,15,4.9,every close neighbour is about as exposed
15-2031.00,Operations Research Analysts,72.6,108510.0,21,7.2,every close neighbour is about as exposed
15-1299.07,Blockchain Engineers,71.6,435370.0,20,5.9,every close neighbour is about as exposed
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",71.5,284800.0,2,2.1,every close neighbour is about as exposed
15-1212.00,Information Security Analysts,71.2,190650.0,19,5.8,every close neighbour is about as exposed
19-2041.01,Climate Change Policy Analysts,70.7,89250.0,8,9.6,every close neighbour is about as exposed
41-4011.07,Solar Sales Representatives and Assessors,70.6,284800.0,2,1.2,every close neighbour is about as exposed
15-1299.08,Computer Systems Engineers/Architects,70.3,435370.0,33,4.9,every close neighbour is about as exposed
15-1299.06,Digital Forensics Analysts,69.8,435370.0,7,4.1,every close neighbour is about as exposed
41-9031.00,Sales Engineers,69.4,51790.0,2,-1.2,every close neighbour is about as exposed
15-1252.00,Software Developers,69.3,1687890.0,21,3.9,every close neighbour is about as exposed
29-2099.08,Patient Representatives,69.2,182610.0,1,-5.5,every close neighbour is about as exposed
15-1232.00,Computer User Support Specialists,69.1,717190.0,26,3.7,every close neighbour is about as exposed
15-1244.00,Network and Computer Systems Administrators,69.0,314340.0,25,3.6,every close neighbour is about as exposed
25-1063.00,"Economics Teachers, Postsecondary",68.9,11560.0,21,7.6,every close neighbour is about as exposed
15-1231.00,Computer Network Support Specialists,68.8,146190.0,23,3.4,every close neighbour is about as exposed
25-1032.00,"Engineering Teachers, Postsecondary",68.8,40270.0,21,7.5,every close neighbour is about as exposed
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",68.7,9900.0,21,7.4,every close neighbour is about as exposed
25-1031.00,"Architecture Teachers, Postsecondary",68.6,7700.0,21,7.3,every close neighbour is about as exposed
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",68.6,1520.0,21,7.3,every close neighbour is about as exposed
25-1065.00,"Political Science Teachers, Postsecondary",68.6,16970.0,21,7.3,every close neighbour is about as exposed
25-1053.00,"Environmental Science Teachers, Postsecondary",68.4,6690.0,21,7.1,every close neighbour is about as exposed
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",68.4,11300.0,21,7.1,every close neighbour is about as exposed
25-1022.00,"Mathematical Science Teachers, Postsecondary",68.3,47670.0,21,7.0,every close neighbour is about as exposed
15-1241.00,Computer Network Architects,68.1,179740.0,28,2.7,every close neighbour is about as exposed
15-1241.01,Telecommunications Engineering Specialists,68.0,179740.0,26,2.6,every close neighbour is about as exposed
25-1064.00,"Geography Teachers, Postsecondary",68.0,3330.0,21,6.7,every close neighbour is about as exposed
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",67.7,8920.0,21,6.4,every close neighbour is about as exposed
25-1067.00,"Sociology Teachers, Postsecondary",67.7,11850.0,21,6.4,every close neighbour is about as exposed
25-1071.00,"Health Specialties Teachers, Postsecondary",67.6,221270.0,21,6.3,every close neighbour is about as exposed
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",67.4,5240.0,22,10.2,every close neighbour is about as exposed
25-1042.00,"Biological Science Teachers, Postsecondary",67.2,50190.0,21,5.9,every close neighbour is about as exposed
25-1054.00,"Physics Teachers, Postsecondary",67.1,13090.0,21,5.8,every close neighbour is about as exposed
25-1021.00,"Computer Science Teachers, Postsecondary",66.6,35480.0,21,5.3,every close neighbour is about as exposed
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",66.5,77960.0,22,5.5,every close neighbour is about as exposed
11-9121.01,Clinical Research Coordinators,66.3,108690.0,4,6.1,every close neighbour is about as exposed
25-1066.00,"Psychology Teachers, Postsecondary",66.3,41530.0,21,5.0,every close neighbour is about as exposed
11-3021.00,Computer and Information Systems Managers,65.9,670570.0,5,5.7,every close neighbour is about as exposed
25-1052.00,"Chemistry Teachers, Postsecondary",65.9,19980.0,21,4.6,every close neighbour is about as exposed
15-1299.05,Information Security Engineers,65.7,435370.0,24,0.1,every close neighbour is about as exposed
15-1299.09,Information Technology Project Managers,65.6,435370.0,21,0.2,every close neighbour is about as exposed
17-2199.03,"Energy Engineers, Except Wind and Solar",65.6,154070.0,19,7.5,every close neighbour is about as exposed
15-1221.00,Computer and Information Research Scientists,65.4,37200.0,20,-0.2,every close neighbour is about as exposed
19-1011.00,Animal Scientists,65.1,3100.0,1,-3.4,every close neighbour is about as exposed
17-1012.00,Landscape Architects,63.5,19600.0,27,8.9,every close neighbour is about as exposed
17-2111.02,Fire-Prevention and Protection Engineers,63.4,21450.0,10,8.0,every close neighbour is about as exposed
17-3022.00,Civil Engineering Technologists and Technicians,63.3,68520.0,21,8.7,every close neighbour is about as exposed
19-2011.00,Astronomers,63.2,2120.0,40,10.5,every close neighbour is about as exposed
17-3012.00,Electrical and Electronics Drafters,63.0,17920.0,37,9.6,every close neighbour is about as exposed
17-1022.01,Geodetic Surveyors,62.9,50830.0,19,7.5,every close neighbour is about as exposed
