onet_soc_code,occupation_title,stem_occupation_types,job_zone,bright_outlook,task_id,task,task_category,importance,task_rank_in_occupation,dwa_id,dwa_title,iwa_id,iwa_title,gwa_id,gwa_title
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,966,"Manage backup, security and user help systems.",Supplemental,80.0,17,4.A.2.b.2.b.2,Develop computer or information systems.,4.A.2.b.2.b,Design computer or information systems or applications.,4.A.2.b.2,Thinking Creatively
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",Core,78.0,1,4.A.2.a.4.g.12,Analyze data to inform operational decisions or activities.,4.A.2.a.4.g,Analyze data to improve operations.,4.A.2.a.4,Analyzing Data or Information
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",Core,78.0,1,4.A.2.b.2.v.2,Develop organizational goals or objectives.,4.A.2.b.2.v,Develop organizational or program goals or objectives.,4.A.2.b.2,Thinking Creatively
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",Core,78.0,1,4.A.4.b.4.j.39,"Direct organizational operations, projects, or services.",4.A.4.b.4.j,"Direct organizational operations, activities, or procedures.",4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,975,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",Core,78.0,2,4.A.4.a.2.c.14,Confer with organizational members to accomplish work activities.,4.A.4.a.2.c,Communicate with others about operational plans or activities.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,975,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",Core,78.0,2,4.A.4.a.7.c.1,Resolve employee or contractor problems.,4.A.4.a.7.c,Resolve personnel or operational problems.,4.A.4.a.7,Resolving Conflicts and Negotiating with Others
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,975,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",Core,78.0,2,4.A.4.b.1.c.6,Coordinate operational activities with external stakeholders.,4.A.4.b.1.c,"Coordinate activities with clients, agencies, or organizations.",4.A.4.b.1,Coordinating the Work and Activities of Others
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,978,Review project plans to plan and coordinate project activity.,Core,77.0,3,4.A.4.b.4.j.12,"Manage operations, research, or logistics projects.",4.A.4.b.4.j,"Direct organizational operations, activities, or procedures.",4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,76.0,4,4.A.2.a.1.d.4,Evaluate employee performance.,4.A.2.a.1.d,Evaluate personnel capabilities or performance.,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,15198,Provide users with technical support for computer problems.,Core,75.0,5,4.A.4.b.6.b.2,Advise customers on technical or procedural issues.,4.A.4.b.6.b,Advise others on products or services.,4.A.4.b.6,Providing Consultation and Advice to Others
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,74.0,6,4.A.2.b.2.b.2,Develop computer or information systems.,4.A.2.b.2.b,Design computer or information systems or applications.,4.A.2.b.2,Thinking Creatively
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,977,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",Core,72.0,7,4.A.4.b.3.d.16,Conduct employee training programs.,4.A.4.b.3.d,Train others on operational or work procedures.,4.A.4.b.3,Training and Teaching Others
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,977,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",Core,72.0,7,4.A.4.c.2.a.3,Hire personnel.,4.A.4.c.2.a,Perform recruiting or hiring activities.,4.A.4.c.2,Staffing Organizational Units
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,977,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",Core,72.0,7,4.A.4.c.2.a.5,Recruit personnel.,4.A.4.c.2.a,Perform recruiting or hiring activities.,4.A.4.c.2,Staffing Organizational Units
