onet_soc_code,title,susceptibility,total_employment,destination_code,destination,destination_susceptibility,relief,overlap,shared_activities,shared_protected,carries_exposure,verdict
15-2051.01,Business Intelligence Analysts,78.3,262440.0,15-1299.09,Information Technology Project Managers,65.2,13.1,0.204,3,0,3,Carries its exposure
15-1299.02,Geographic Information Systems Technologists and Technicians,78.2,435370.0,15-1221.00,Computer and Information Research Scientists,65.3,12.9,0.283,6,4,2,Real move
15-2021.00,Mathematicians,76.6,2030.0,19-2011.00,Astronomers,62.7,13.9,0.195,3,1,2,Carries its exposure
15-2041.01,Biostatisticians,75.0,29030.0,15-2011.00,Actuaries,60.8,14.2,0.189,3,0,3,Carries its exposure
15-1299.04,Penetration Testers,70.2,435370.0,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,55.0,15.2,0.131,3,3,0,Real move
19-3094.00,Political Scientists,69.1,5540.0,19-3039.03,Clinical Neuropsychologists,50.4,18.7,0.2,3,1,2,Carries its exposure
29-2072.00,Medical Records Specialists,67.9,194720.0,29-2034.00,Radiologic Technologists and Technicians,44.9,23.0,0.293,6,2,4,Carries its exposure
19-1029.01,Bioinformatics Scientists,67.7,55850.0,19-4092.00,Forensic Science Technicians,46.4,21.3,0.202,3,2,1,Real move
19-3011.01,Environmental Economists,67.7,17790.0,19-4042.00,"Environmental Science and Protection Technicians, Including Health",52.0,15.7,0.203,5,4,1,Real move
19-4061.00,Social Science Research Assistants,67.5,30640.0,19-3033.00,Clinical and Counseling Psychologists,54.3,13.2,0.279,6,5,1,Real move
19-2041.03,Industrial Ecologists,67.0,89250.0,19-1032.00,Foresters,52.8,14.2,0.236,6,6,0,Real move
19-3099.01,Transportation Planners,66.9,37100.0,19-4092.00,Forensic Science Technicians,46.4,20.5,0.146,3,0,3,Carries its exposure
17-3011.00,Architectural and Civil Drafters,65.7,103700.0,17-3029.08,Photonics Technicians,49.5,16.2,0.13,3,1,2,Carries its exposure
19-3011.00,Economists,65.7,17790.0,19-3039.03,Clinical Neuropsychologists,50.4,15.3,0.207,3,1,2,Carries its exposure
19-2012.00,Physicists,65.6,20430.0,19-4092.00,Forensic Science Technicians,46.4,19.2,0.137,3,2,1,Real move
19-3022.00,Survey Researchers,65.5,8290.0,19-4092.00,Forensic Science Technicians,46.4,19.1,0.217,4,3,1,Real move
19-3051.00,Urban and Regional Planners,65.5,44230.0,19-4012.00,Agricultural Technicians,49.6,15.9,0.178,4,2,2,Real move
19-2021.00,Atmospheric and Space Scientists,65.3,10000.0,19-4092.00,Forensic Science Technicians,46.4,18.9,0.129,3,1,2,Carries its exposure
19-4012.01,Precision Agriculture Technicians,65.3,15130.0,19-4051.02,Nuclear Monitoring Technicians,48.1,17.2,0.303,5,3,2,Real move
17-2112.00,Industrial Engineers,65.2,365740.0,17-3029.08,Photonics Technicians,49.5,15.7,0.137,3,2,1,Real move
29-9021.00,Health Information Technologists and Medical Registrars,65.2,38100.0,29-2091.00,Orthotists and Prosthetists,42.5,22.7,0.171,3,3,0,Real move
17-2031.00,Bioengineers and Biomedical Engineers,64.5,23480.0,17-3029.08,Photonics Technicians,49.5,15.0,0.174,4,2,2,Real move
19-4099.03,Remote Sensing Technicians,64.2,73910.0,19-4071.00,Forest and Conservation Technicians,49.5,14.7,0.25,5,3,2,Real move
19-3041.00,Sociologists,63.4,2260.0,19-3039.03,Clinical Neuropsychologists,50.4,13.0,0.258,4,3,1,Real move
17-2072.00,"Electronics Engineers, Except Computer",63.3,96900.0,17-3029.08,Photonics Technicians,49.5,13.8,0.13,3,3,0,Real move
19-2041.00,"Environmental Scientists and Specialists, Including Health",63.3,89250.0,19-4012.00,Agricultural Technicians,49.6,13.7,0.147,3,2,1,Real move
17-2061.00,Computer Hardware Engineers,63.2,76660.0,17-3029.08,Photonics Technicians,49.5,13.7,0.303,6,5,1,Real move
17-2112.03,Manufacturing Engineers,63.2,365740.0,17-3029.08,Photonics Technicians,49.5,13.7,0.197,5,3,2,Real move
19-1029.04,Biologists,63.2,55850.0,19-4012.00,Agricultural Technicians,49.6,13.6,0.205,5,3,2,Real move
19-2099.01,Remote Sensing Scientists and Technologists,63.2,22300.0,19-4071.00,Forest and Conservation Technicians,49.5,13.7,0.228,5,4,1,Real move
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",62.9,23470.0,19-4071.00,Forest and Conservation Technicians,49.5,13.4,0.125,3,2,1,Real move
17-2051.02,Water/Wastewater Engineers,62.7,367840.0,17-3029.08,Photonics Technicians,49.5,13.2,0.137,3,2,1,Real move
