decile,workers,mean_wage,susceptibility,exposure,anchoring,wage_bill_usd
1,2152310,53942,51.5,49.3,46.4,116100603800
2,2152310,68314,55.1,51.6,41.4,147032791300
3,2152310,88942,54.3,55.2,46.7,191430344600
4,2152310,101235,50.2,56.5,56.0,217889226200
5,2152310,102001,53.0,58.5,52.4,219538146300
6,2152310,109854,62.8,66.6,40.9,236439729200
7,2152310,120629,68.5,72.0,34.9,259631932400
8,2152310,138293,59.5,63.5,44.5,297650356900
9,2152310,147404,68.2,71.6,35.2,317259669700
10,2152310,221273,57.0,62.7,48.7,476248922900
