onet_soc_code,title,stem_occupation_types,total_employment,tractability,resistance,recurrence,frontier_distance,stage_now,stage_now_label,stage_reachable,stage_reachable_label,pending_crossings,willingness_gap,classification,erosion_risk,surprise_potential,weighty_crossing
19-3094.00,Political Scientists,"Research, Development, Design, and Practitioners",5540.0,68.9,42.0,39.6,-3.4,1,AI informed,3,"AI executed, human veto",2,47.7,Crossing now,25.7,4.9,
19-3099.01,Transportation Planners,"Research, Development, Design, and Practitioners",37100.0,66.6,47.3,34.5,-7.4,1,AI informed,3,"AI executed, human veto",2,45.7,Watch point,26.4,4.8,
19-3011.01,Environmental Economists,"Research, Development, Design, and Practitioners",17790.0,64.8,41.9,31.6,-0.9,1,AI informed,3,"AI executed, human veto",2,45.8,Crossing now,21.8,4.0,
19-2041.03,Industrial Ecologists,"Research, Development, Design, and Practitioners",89250.0,63.0,42.5,33.4,-0.3,1,AI informed,3,"AI executed, human veto",2,45.4,Crossing now,20.3,3.7,
19-2041.00,"Environmental Scientists and Specialists, Including Health","Research, Development, Design, and Practitioners",89250.0,61.8,49.0,38.0,-6.0,1,AI informed,3,"AI executed, human veto",2,42.0,Watch point,20.5,3.4,
19-3041.00,Sociologists,"Research, Development, Design, and Practitioners",2260.0,65.7,48.2,44.1,-7.7,1,AI informed,3,"AI executed, human veto",2,43.1,Watch point,19.3,3.3,
29-9092.00,Genetic Counselors,"Research, Development, Design, and Practitioners",3740.0,65.0,67.4,69.0,-26.5,1,AI informed,2,AI recommended,1,48.8,Watch point,32.6,3.2,
19-3032.00,Industrial-Organizational Psychologists,"Research, Development, Design, and Practitioners",790.0,64.5,49.9,36.7,-8.7,1,AI informed,3,"AI executed, human veto",2,42.2,Watch point,17.7,3.0,
17-2051.02,Water/Wastewater Engineers,"Research, Development, Design, and Practitioners",367840.0,61.7,48.5,30.1,-5.4,1,AI informed,3,"AI executed, human veto",2,39.2,Watch point,17.6,2.8,
29-1229.02,Hospitalists,"Research, Development, Design, and Practitioners",342720.0,62.5,68.7,75.9,-26.2,1,AI informed,2,AI recommended,1,45.3,Watch point,29.1,2.6,
15-2011.00,Actuaries,"Research, Development, Design, and Practitioners",26670.0,65.7,60.3,32.4,-19.8,1,AI informed,2,AI recommended,1,43.7,Watch point,27.7,2.4,
19-2041.02,Environmental Restoration Planners,"Research, Development, Design, and Practitioners",89250.0,59.8,47.3,33.9,-2.9,1,AI informed,3,"AI executed, human veto",2,41.7,Watch point,14.4,2.4,
19-2041.01,Climate Change Policy Analysts,"Research, Development, Design, and Practitioners",89250.0,68.9,42.6,34.6,-4.0,2,AI recommended,3,"AI executed, human veto",1,45.4,Crossing now,25.4,2.3,proposing action to taking it
15-1211.01,Health Informatics Specialists,"Research, Development, Design, and Practitioners",519530.0,74.5,38.6,50.2,-2.9,2,AI recommended,3,"AI executed, human veto",1,40.3,Crossing now,26.2,2.1,proposing action to taking it
15-1243.01,Data Warehousing Specialists,"Research, Development, Design, and Practitioners",67140.0,75.5,35.2,42.9,0.0,2,AI recommended,3,"AI executed, human veto",1,37.1,Crossing now,26.0,1.9,proposing action to taking it
15-2021.00,Mathematicians,"Research, Development, Design, and Practitioners",2030.0,75.2,31.4,49.5,3.9,2,AI recommended,3,"AI executed, human veto",1,36.5,Crossing now,25.8,1.9,proposing action to taking it
15-2041.01,Biostatisticians,"Research, Development, Design, and Practitioners",29030.0,74.8,34.9,35.7,0.6,2,AI recommended,3,"AI executed, human veto",1,35.5,Crossing now,26.3,1.9,proposing action to taking it
15-2051.00,Data Scientists,"Research, Development, Design, and Practitioners",262440.0,75.6,31.8,53.0,3.4,2,AI recommended,3,"AI executed, human veto",1,37.7,Crossing now,25.8,1.9,proposing action to taking it
17-2112.01,Human Factors Engineers and Ergonomists,"Research, Development, Design, and Practitioners",365740.0,58.9,48.1,37.5,-3.0,1,AI informed,3,"AI executed, human veto",2,39.4,Watch point,11.9,1.9,
19-3011.00,Economists,"Research, Development, Design, and Practitioners",17790.0,67.1,46.2,44.8,-6.6,2,AI recommended,3,"AI executed, human veto",1,43.1,Human held,22.2,1.9,proposing action to taking it
29-1229.05,Preventive Medicine Physicians,"Research, Development, Design, and Practitioners",342720.0,62.4,61.5,48.8,-18.9,1,AI informed,2,AI recommended,1,42.1,Watch point,22.0,1.9,
11-3021.00,Computer and Information Systems Managers,Managerial,670570.0,69.0,48.3,51.7,-9.8,2,AI recommended,3,"AI executed, human veto",1,40.9,Watch point,22.2,1.8,proposing action to taking it
15-2041.00,Statisticians,"Research, Development, Design, and Practitioners",29030.0,73.5,35.1,52.6,1.1,2,AI recommended,3,"AI executed, human veto",1,35.7,Crossing now,25.4,1.8,proposing action to taking it
19-1041.00,Epidemiologists,"Research, Development, Design, and Practitioners",12090.0,62.3,54.2,44.1,-11.5,1,AI informed,2,AI recommended,1,43.7,Watch point,20.1,1.8,
29-1229.06,Sports Medicine Physicians,"Research, Development, Design, and Practitioners",342720.0,57.5,68.0,64.8,-21.8,1,AI informed,2,AI recommended,1,42.9,Watch point,20.9,1.8,
15-2031.00,Operations Research Analysts,"Research, Development, Design, and Practitioners",108510.0,71.5,36.8,43.5,0.4,2,AI recommended,3,"AI executed, human veto",1,39.2,Crossing now,21.1,1.7,proposing action to taking it
15-1299.04,Penetration Testers,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,70.5,41.4,55.2,-3.7,2,AI recommended,3,"AI executed, human veto",1,33.1,Crossing now,24.6,1.6,proposing action to taking it
