onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
15-2051.01,Business Intelligence Analysts,"Research, Development, Design, and Practitioners",4,17,80.1,86.2,26.0,32.9,1.0,0.588,0.0,Displaceable
15-1299.02,Geographic Information Systems Technologists and Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,29,79.3,85.5,27.0,32.1,0.862,0.517,0.0,Displaceable
15-2021.00,Mathematicians,"Research, Development, Design, and Practitioners",5,12,77.4,85.9,31.1,41.5,0.833,0.25,0.083,Displaceable
15-1242.00,Database Administrators,"Research, Development, Design, and Practitioners",4,18,77.2,82.7,28.3,29.5,0.833,0.556,0.0,Displaceable
15-1299.03,Document Management Specialists,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,23,77.1,84.5,30.2,35.0,0.913,0.217,0.0,Displaceable
15-2051.00,Data Scientists,"Research, Development, Design, and Practitioners",4,16,76.9,84.8,31.0,40.8,0.812,0.125,0.062,Displaceable
15-1255.00,Web and Digital Interface Designers,"Research, Development, Design, and Practitioners",4,30,76.8,84.0,30.4,36.7,0.833,0.333,0.0,Displaceable
15-1251.00,Computer Programmers,"Research, Development, Design, and Practitioners",4,17,76.2,82.1,29.7,32.1,0.765,0.353,0.0,Displaceable
15-1254.00,Web Developers,"Research, Development, Design, and Practitioners",3,29,76.2,82.1,29.7,31.2,0.793,0.276,0.0,Displaceable
15-1243.01,Data Warehousing Specialists,"Research, Development, Design, and Practitioners",4,18,76.1,83.7,31.6,40.8,0.889,0.222,0.0,Displaceable
15-1243.00,Database Architects,"Research, Development, Design, and Practitioners",4,25,75.9,82.3,30.5,36.3,0.84,0.36,0.0,Displaceable
15-2041.01,Biostatisticians,"Research, Development, Design, and Practitioners",5,25,75.6,83.9,32.6,38.5,0.68,0.28,0.08,Displaceable
15-2099.01,Bioinformatics Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,19,74.7,79.6,30.1,35.8,0.789,0.263,0.0,Displaceable
15-1253.00,Software Quality Assurance Analysts and Testers,"Research, Development, Design, and Practitioners",4,30,74.6,78.6,29.5,24.5,0.867,0.5,0.0,Displaceable
15-2051.02,Clinical Data Managers,"Research, Development, Design, and Practitioners",4,21,74.4,81.0,32.2,38.0,0.81,0.095,0.048,Displaceable
15-1211.01,Health Informatics Specialists,"Research, Development, Design, and Practitioners",5,17,74.2,83.9,35.6,42.9,0.882,0.176,0.0,Displaceable
15-2041.00,Statisticians,"Research, Development, Design, and Practitioners",5,19,74.2,81.5,33.2,38.9,0.737,0.158,0.158,Displaceable
15-1299.01,Web Administrators,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,35,73.8,80.2,32.6,33.1,0.771,0.257,0.0,Displaceable
15-1211.00,Computer Systems Analysts,"Research, Development, Design, and Practitioners",4,22,73.7,81.5,34.2,37.4,0.682,0.273,0.045,Displaceable
15-1255.01,Video Game Designers,"Research, Development, Design, and Practitioners",4,24,73.0,78.1,32.1,37.0,0.583,0.292,0.0,Displaceable
15-2031.00,Operations Research Analysts,"Research, Development, Design, and Practitioners",5,17,72.6,80.8,35.6,42.1,0.706,0.059,0.059,Displaceable
15-1299.07,Blockchain Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,17,71.6,79.1,36.0,35.6,0.588,0.176,0.0,Displaceable
15-1299.04,Penetration Testers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,22,71.5,79.4,36.4,37.3,0.636,0.091,0.045,Displaceable
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales,4,33,71.5,75.5,32.6,21.2,0.606,0.576,0.0,Displaceable
15-1212.00,Information Security Analysts,"Research, Development, Design, and Practitioners",4,11,71.2,79.3,37.0,34.2,0.545,0.182,0.0,Displaceable
19-2041.01,Climate Change Policy Analysts,"Research, Development, Design, and Practitioners",5,14,70.7,81.7,40.2,49.2,0.643,0.071,0.0,Displaceable
41-4011.07,Solar Sales Representatives and Assessors,Sales,3,13,70.6,77.2,35.9,31.1,0.615,0.385,0.0,Displaceable
19-3094.00,Political Scientists,"Research, Development, Design, and Practitioners",5,14,70.5,81.6,40.6,50.2,0.571,0.0,0.143,Displaceable
15-1299.08,Computer Systems Engineers/Architects,"Research, Development, Design, and Practitioners; Technologists and Technicians",3,28,70.3,77.3,36.7,36.9,0.75,0.179,0.036,Displaceable
15-1299.06,Digital Forensics Analysts,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,20,69.8,76.4,36.8,32.6,0.55,0.15,0.0,Displaceable
41-9031.00,Sales Engineers,Sales,4,25,69.4,74.4,35.6,29.1,0.64,0.36,0.08,Displaceable
