field,scenario,occupations,total_employment,efficiency,removal_risk,reconstitution,octant,trap_score
Architecture and Engineering,extreme,56,2602660.0,82.1,52.5,50.7,Strategic trap,21.9
Architecture and Engineering,modest,56,2602660.0,44.2,52.5,50.7,Protect,11.8
Architecture and Engineering,substantial,56,2602660.0,66.9,52.5,50.7,Strategic trap,17.8
Computer and Mathematical,extreme,36,5260120.0,96.4,43.2,46.5,Clear win,19.4
Computer and Mathematical,modest,36,5260120.0,71.7,43.2,46.5,Clear win,14.4
Computer and Mathematical,substantial,36,5260120.0,89.5,43.2,46.5,Clear win,18.0
Healthcare Practitioners and Technical,extreme,89,9793540.0,60.8,71.1,45.6,Reversible gamble,19.7
Healthcare Practitioners and Technical,modest,89,9793540.0,28.4,71.1,45.6,Hold the line,9.2
Healthcare Practitioners and Technical,substantial,89,9793540.0,42.3,71.1,45.6,Hold the line,13.7
"Life, Physical, and Social Science",extreme,57,1291170.0,80.3,51.4,60.6,Strategic trap,25.0
"Life, Physical, and Social Science",modest,57,1291170.0,45.8,51.4,60.6,Protect,14.3
"Life, Physical, and Social Science",substantial,57,1291170.0,65.5,51.4,60.6,Strategic trap,20.4
Managerial,extreme,7,1596600.0,90.1,51.1,45.2,Reversible gamble,20.8
Managerial,modest,7,1596600.0,47.3,51.1,45.2,Hold the line,10.9
Managerial,substantial,7,1596600.0,71.0,51.1,45.2,Reversible gamble,16.4
Postsecondary Teaching,extreme,20,642420.0,91.0,41.6,56.0,Guard the pipeline,21.2
Postsecondary Teaching,modest,20,642420.0,53.9,41.6,56.0,Guard the pipeline,12.6
Postsecondary Teaching,substantial,20,642420.0,81.6,41.6,56.0,Guard the pipeline,19.0
Sales,extreme,3,336590.0,92.0,34.3,38.0,Clear win,12.0
Sales,modest,3,336590.0,65.4,34.3,38.0,Clear win,8.5
Sales,substantial,3,336590.0,87.9,34.3,38.0,Clear win,11.5
