soc_code,soc_title,n_onet_occupations,onet_codes,total_employment,annual_mean_wage,annual_median_wage,susceptibility,susceptibility_sd_within_soc,exposure,anchoring,deployment_gap,quadrant,wage_bill_usd,stem_occupation_types
29-1141,Registered Nurses,5,29-1141.04;29-1141.02;29-1141.01;29-1141.00;29-1141.03,3379720.0,101420.0,97550.0,48.4,3.6,55.2,58.3,35.8,Human-anchored,342771202400,"Research, Development, Design, and Practitioners"
15-1252,Software Developers,1,15-1252.00,1687890.0,148100.0,135980.0,69.8,0.0,73.2,33.6,31.5,Displaceable,249976509000,"Research, Development, Design, and Practitioners"
15-1232,Computer User Support Specialists,1,15-1232.00,717190.0,67330.0,61860.0,68.5,0.0,67.2,30.2,21.4,Displaceable,48288402700,Technologists and Technicians
11-3021,Computer and Information Systems Managers,1,11-3021.00,670570.0,192160.0,175140.0,65.8,0.0,71.3,39.7,41.0,Displaceable,128856731200,Managerial
29-2061,Licensed Practical and Licensed Vocational Nurses,1,29-2061.00,648410.0,67050.0,64400.0,43.3,0.0,39.5,53.0,9.9,Human-anchored,43475890500,Technologists and Technicians
11-9111,Medical and Health Services Managers,1,11-9111.00,597080.0,140970.0,123860.0,61.4,0.0,63.8,41.1,32.2,Contested,84170367600,Managerial
15-1211,Computer Systems Analysts,2,15-1211.01;15-1211.00,519530.0,114610.0,105850.0,73.8,0.3,79.5,31.8,37.9,Displaceable,59543333300,"Research, Development, Design, and Practitioners"
29-2052,Pharmacy Technicians,1,29-2052.00,471680.0,46620.0,45750.0,58.9,0.0,54.4,36.7,3.3,Insulated,21989721600,Technologists and Technicians
15-1299,"Computer Occupations, All Other",9,15-1299.02;15-1299.03;15-1299.01;15-1299.04;15-1299.07;15-1299.08;15-1299.06;15-1299.05;15-1299.09,435370.0,122230.0,116580.0,71.2,4.4,75.4,33.1,31.9,Displaceable,53215275100,"Research, Development, Design, and Practitioners; Technologists and Technicians"
17-2051,Civil Engineers,3,17-2051.02;17-2051.01;17-2051.00,367840.0,108670.0,100840.0,59.5,3.5,62.8,43.7,33.8,Contested,39973172800,"Research, Development, Design, and Practitioners"
17-2112,Industrial Engineers,4,17-2112.00;17-2112.03;17-2112.02;17-2112.01,365740.0,109900.0,102440.0,63.1,2.1,66.3,40.1,34.0,Displaceable,40194826000,"Research, Development, Design, and Practitioners"
29-1229,"Physicians, All Other",6,29-1229.05;29-1229.02;29-1229.06;29-1229.01;29-1229.03;29-1229.04,342720.0,262040.0,265930.0,52.4,6.2,61.6,56.8,41.8,Contested,89806348800,"Research, Development, Design, and Practitioners"
29-2010,Clinical Laboratory Technologists and Technicians,6,29-2011.01;29-2011.02;29-2012.00;29-2011.00;29-2011.04;29-2012.01,332940.0,67350.0,62930.0,44.9,5.9,37.0,47.2,0.1,Human-anchored,22423509000,Technologists and Technicians
29-1171,Nurse Practitioners,1,29-1171.00,323040.0,137300.0,132300.0,53.2,0.0,62.7,56.3,42.9,Contested,44353392000,"Research, Development, Design, and Practitioners"
