onet_soc_code,title,susceptibility,tasks_first,tasks_last,added,retired,turnover_rate,net_change,last_reviewed
17-3026.00,Industrial Engineering Technologists and Technicians,58.3,17,30,23,10,0.7021,13,2026
17-2031.00,Bioengineers and Biomedical Engineers,66.5,19,30,21,10,0.6327,11,2024
29-2034.00,Radiologic Technologists and Technicians,46.6,23,30,18,11,0.5472,7,2026
17-2199.03,"Energy Engineers, Except Wind and Solar",65.6,21,21,11,11,0.5238,0,2026
17-3027.00,Mechanical Engineering Technologists and Technicians,62.3,18,30,18,6,0.5,12,2022
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,55.1,12,28,16,0,0.4,16,2022
19-3099.01,Transportation Planners,67.8,22,22,5,5,0.2273,0,2023
17-2161.00,Nuclear Engineers,61.1,20,20,4,4,0.2,0,2024
19-1023.00,Zoologists and Wildlife Biologists,60.4,15,14,2,3,0.1724,-1,2026
19-3051.00,Urban and Regional Planners,66.2,19,25,6,0,0.1364,6,2021
17-2199.05,Mechatronics Engineers,60.7,23,23,3,3,0.1304,0,2022
17-2011.00,Aerospace Engineers,59.8,18,14,0,4,0.125,-4,2026
29-2051.00,Dietetic Technicians,56.8,12,13,2,1,0.12,1,2021
19-1031.02,Range Managers,55.1,16,18,3,1,0.1176,2,2026
19-1011.00,Animal Scientists,65.1,9,9,1,1,0.1111,0,2022
19-3041.00,Sociologists,64.6,12,15,3,0,0.1111,3,2023
17-2111.02,Fire-Prevention and Protection Engineers,63.4,13,14,2,1,0.1111,1,2025
17-3022.00,Civil Engineering Technologists and Technicians,63.3,13,14,2,1,0.1111,1,2017
19-1031.03,Park Naturalists,61.3,16,20,4,0,0.1111,4,2026
17-3024.01,Robotics Technicians,51.6,23,22,2,3,0.1111,-1,2018
17-3029.08,Photonics Technicians,50.4,30,24,0,6,0.1111,-6,2024
19-4092.00,Forensic Science Technicians,46.2,21,24,4,1,0.1111,3,2023
15-2011.00,Actuaries,62.3,14,15,2,1,0.1034,1,2026
29-2012.00,Medical and Clinical Laboratory Technicians,47.2,15,14,1,2,0.1034,-1,2026
29-1031.00,Dietitians and Nutritionists,58.1,23,28,5,0,0.098,5,2021
15-2031.00,Operations Research Analysts,72.6,14,17,3,0,0.0968,3,2024
19-2012.00,Physicists,66.6,15,16,2,1,0.0968,1,2026
19-2011.00,Astronomers,63.2,14,17,3,0,0.0968,3,2024
19-1041.00,Epidemiologists,61.3,15,16,2,1,0.0968,1,2023
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,53.4,11,11,1,1,0.0909,0,2019
29-2031.00,Cardiovascular Technologists and Technicians,44.8,25,21,0,4,0.087,-4,2014
