onet_soc_code,title,susceptibility,total_employment,destination_code,destination,destination_susceptibility,relief,overlap,shared_activities,shared_protected,carries_exposure,verdict
15-2051.01,Business Intelligence Analysts,79.0,262440.0,15-1299.09,Information Technology Project Managers,65.9,13.1,0.204,3,0,3,Carries its exposure
15-1299.02,Geographic Information Systems Technologists and Technicians,78.7,435370.0,15-1221.00,Computer and Information Research Scientists,65.7,13.0,0.283,6,4,2,Real move
15-2021.00,Mathematicians,77.2,2030.0,19-2011.00,Astronomers,63.3,13.9,0.195,3,1,2,Carries its exposure
15-2041.01,Biostatisticians,75.6,29030.0,15-2011.00,Actuaries,61.1,14.5,0.189,3,0,3,Carries its exposure
15-1299.04,Penetration Testers,71.0,435370.0,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,55.8,15.2,0.131,3,3,0,Real move
19-3094.00,Political Scientists,69.8,5540.0,19-3039.03,Clinical Neuropsychologists,51.1,18.7,0.2,3,1,2,Carries its exposure
19-1029.01,Bioinformatics Scientists,68.5,55850.0,19-4092.00,Forensic Science Technicians,46.9,21.6,0.202,3,2,1,Real move
19-4061.00,Social Science Research Assistants,68.0,30640.0,19-3033.00,Clinical and Counseling Psychologists,55.0,13.0,0.279,6,5,1,Real move
29-2072.00,Medical Records Specialists,68.0,194720.0,29-2034.00,Radiologic Technologists and Technicians,45.3,22.7,0.293,6,2,4,Carries its exposure
19-3011.01,Environmental Economists,67.7,17790.0,19-4042.00,"Environmental Science and Protection Technicians, Including Health",52.6,15.1,0.203,5,4,1,Real move
19-3099.01,Transportation Planners,67.0,37100.0,19-4092.00,Forensic Science Technicians,46.9,20.1,0.146,3,0,3,Carries its exposure
19-2041.03,Industrial Ecologists,66.9,89250.0,19-1032.00,Foresters,53.1,13.8,0.236,6,6,0,Real move
19-3011.00,Economists,66.5,17790.0,19-3039.03,Clinical Neuropsychologists,51.1,15.4,0.207,3,1,2,Carries its exposure
19-2012.00,Physicists,66.0,20430.0,19-4092.00,Forensic Science Technicians,46.9,19.1,0.137,3,2,1,Real move
19-3022.00,Survey Researchers,65.8,8290.0,19-4092.00,Forensic Science Technicians,46.9,18.9,0.217,4,3,1,Real move
17-2112.00,Industrial Engineers,65.7,365740.0,17-3029.08,Photonics Technicians,50.1,15.6,0.137,3,2,1,Real move
29-9021.00,Health Information Technologists and Medical Registrars,65.7,38100.0,29-2091.00,Orthotists and Prosthetists,42.9,22.8,0.171,3,3,0,Real move
19-3051.00,Urban and Regional Planners,65.6,44230.0,19-4012.00,Agricultural Technicians,50.1,15.5,0.178,4,2,2,Real move
17-3011.00,Architectural and Civil Drafters,65.4,103700.0,17-3029.08,Photonics Technicians,50.1,15.3,0.13,3,1,2,Carries its exposure
19-2021.00,Atmospheric and Space Scientists,65.4,10000.0,19-4092.00,Forensic Science Technicians,46.9,18.5,0.129,3,1,2,Carries its exposure
19-4012.01,Precision Agriculture Technicians,65.4,15130.0,19-4051.02,Nuclear Monitoring Technicians,49.1,16.3,0.303,5,3,2,Real move
17-2031.00,Bioengineers and Biomedical Engineers,65.1,23480.0,17-3029.08,Photonics Technicians,50.1,15.0,0.174,4,2,2,Real move
19-4099.03,Remote Sensing Technicians,64.6,73910.0,19-4071.00,Forest and Conservation Technicians,49.9,14.7,0.25,5,4,1,Real move
17-2072.00,"Electronics Engineers, Except Computer",64.3,96900.0,17-3029.08,Photonics Technicians,50.1,14.2,0.13,3,3,0,Real move
19-3041.00,Sociologists,64.1,2260.0,19-3039.03,Clinical Neuropsychologists,51.1,13.0,0.258,4,3,1,Real move
